Sa;10:15;82;Kidnapping;7
Sa;13:15;82;Zimmer 213;7
Sa;16:15;95;Versprechungen;8
Sa;19:15;93;Das Erdbeerland;8
Sa;22:15;89;Nordic Shorts;8
Sa;10:45;98;Die letzten Robbenjäger;6
Sa;13:45;78;Träume am Meer;6
Sa;16:45;90;Jennifer - Sehnsucht nach was Besseres, E4-6;7.5
Sa;19:45;108;Backstabbing for Beginners;3.7
Sa;22:45;90;Black Lake;6.3
Sa;10:30;106;Was werden die Leute sagen;8
Sa;13:30;92;Das Entschwinden;6.8
Sa;16:30;86;Eine fürchterliche Frau;7.7
Sa;19:30;89;Unter dem Baum;7.2
Sa;22:30;81;Das Ende der Kette;6.9
Sa;10:15;90;Der Charmeur;7.3
Sa;13:15;108;Mirush und sein Vater;7
Sa;16:15;100;Citizen Schein;7.6
Sa;19:15;92;Jalla! Jalla! Wer zu spät kommt...;6.8
Sa;22:15;107;Izzat - A Killer Thriller;6.4
Sa;10:00;85;Going West;8.9
Sa;13:00;96;Tagebuch eines Gangsters;7.0
Sa;16:00;103;Darling;6.5
Sa;19:00;110;Die Raben;8
Sa;22:00;107;Ein Augenblick im Schilf;7.6
Sa;10:45;75;Richtig erwachsen;6
Sa;13:45;88;Hallo, Pferd+Mein Sommer als Libelle;7.7
Sa;16:45;86;Gamlingen - Requiem für ein Freibad+Life in Four Elements;7.7
Sa;19:45;82;Wer wir waren;7.3
Sa;22:45;87;Reynir, der Starke;7
Sa;10:15;90;Polizeiruf 110 - In Flammen;7
Sa;13:15;89;Das deutsche Kind;7
Sa;16:15;90;Wildes Herz;7
Sa;19:15;100;Arthur & Claire;8
Sa;22:15;92;TIAN - Das Geheimnis der Schmuckstraße;7
Sa;10:00;78;Nach Inez;8
Sa;12:30;96;Yes No Maybe, E1-8;6.7
Sa;15:00;78;TRIO - Jagd nach dem Schrein;8
Sa;17:30;98;Teenage Love Bomb;6
Sa;20:00;90;Der Grenzgänger, E1&2;6
Sa;22:30;93;Amateurs in Space;5
Sa;10:00;120;Miami;6.3
Sa;13:00;88;3 Dinge;5.7
Sa;16:00;90;Die Ex-Frau;6.0
Sa;19:00;84;QEDA - Der geteilte Mensch;5.7
Sa;22:00;82;Sternsinger;6.6
Sa;09:00;96;Team Hurricane;6
Sa;11:00;91;Der Schwan;7
Sa;9:30;75;Onelli, Anneli und der geheimnisvolle Fremde;7
Sa;11:30;80;Plötzlich Santa;5
Sa;20:00;85;Lake Bodom;6
So;10:15;80;Plötzlich Santa;5
So;12:00;60;Young Nordic Filmmakers - Präsentation der Dokumentar-Kurzfilme;8
So;13:15;75;Elias und das Geheimnis des Großen Grabens;8
So;16:15;83;Casper und Emma gehen wandern;6
So;19:15;99;Flucht in die Zukunft;6
So;10:45;107;Ein Augenblick im Schilf;7.6
So;13:45;82;Sternsinger;6.6
So;16:45;92;Das Entschwinden;6.8
So;19:45;92;Träum' weiter;7.4
So;10:30;103;Darling;6.5
So;13:30;106;Was werden die Leute sagen;8
So;16:30;120;Miami;6.3
So;19:30;116;Thelma;7.5
So;10:15;81;Das Ende der Kette;6.9
So;13:15;93;Le Havre;7.2
So;16:15;98;Die andere Seite der Hoffnung;7.3
So;19:15;85;Going West;8.9
So;10:00;90;Die Ex-Frau;6.0
So;13:00;110;Die Raben;8
So;16:00;84;QEDA - Der geteilte Mensch;5.7
So;19:00;86;Eine fürchterliche Frau;7.7
So;10:45;90;Big Time;5
So;13:45;90;Hobbyhorse Revolution;6
So;16:45;119;Haus der Träume+Die Kunst des Unmöglichen;6.8
So;19:45;78;Nach Inez;8
So;10:15;103;Portraits;8
So;13:15;71;Unsere Dorfschule;7
So;16:15;92;Dasein;7
So;19:15;78;Maybe, Baby!;7
So;10:00;89;Garagen+Dóra - Eine von den Jungs;7.7
So;12:30;85;Zungenschneider;7
So;15:00;81;Träume und Trauma;8
So;17:30;78;Träume am Meer;6
So;20:20;90;Kindheit;7
So;10:00;88;3 Dinge;5.7
So;13:00;96;Tagebuch eines Gangsters;7.0
So;16:00;90;Der Charmeur;7.3
So;19:00;89;Unter dem Baum;7.2
So;09:00;93;Das Erdbeerland;8
So;11:00;98;Teenage Love Bomb;6
So;09:30;76;Kurze für Kurze;8
So;11:30;77;Geschichten über das Großwerden;8
